user_id,muito_faceis,faceis,medias,dificeis,muito_dificeis
634848b0-eb42-4445-8f2d-625635be3b18,"[15, 0, 6]","[29, 0, 21]","[29, 1, 12]","[6, 0, 2]","[1, 0, 1]"
ac25b55b-b3e9-43c8-aac2-68b0c3227d66,"[15, 0, 6]","[27, 0, 23]","[29, 0, 13]","[6, 0, 2]","[0, 0, 2]"
64411e07-ec46-425f-95fb-fbda6ea9130b,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
daaeb900-282d-4cf1-9b59-105879e52684,"[21, 0, 0]","[46, 1, 3]","[42, 0, 0]","[7, 0, 1]","[2, 0, 0]"
e5bf5b77-2f4a-490b-991f-e50d7f916342,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
c0b8b2c2-5709-47e2-ab22-f22e19b7e0b1,"[5, 0, 16]","[5, 0, 45]","[4, 0, 38]","[1, 0, 7]","[0, 0, 2]"
ca2160d8-4a8f-4a4c-8368-24dac6bf0107,"[14, 0, 7]","[28, 0, 22]","[30, 0, 12]","[6, 0, 2]","[1, 0, 1]"
4f5fd914-b6c5-47b3-95be-5e550f085695,"[7, 0, 14]","[9, 0, 41]","[4, 0, 38]","[0, 0, 8]","[0, 0, 2]"
4cf631ff-1622-46ca-a5f3-3c5a052d5136,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
def2b0a1-9c96-4661-ab39-56b854b2fb91,"[10, 0, 11]","[11, 0, 39]","[5, 1, 36]","[0, 0, 8]","[0, 0, 2]"
b4c4fb9b-b3cd-4bb2-83bd-41f0e97e76b7,"[6, 0, 15]","[12, 0, 38]","[7, 0, 35]","[0, 0, 8]","[0, 0, 2]"
e76a35d8-afa6-4991-9937-01d085055f29,"[14, 0, 7]","[25, 0, 25]","[27, 0, 15]","[5, 1, 2]","[0, 1, 1]"
61d2ea5c-d208-4d96-8c21-ba6c2ba358f9,"[7, 0, 14]","[16, 0, 34]","[15, 0, 27]","[2, 0, 6]","[0, 0, 2]"
e6d74076-82c4-4e0f-bb0a-f63d232ed9a2,"[15, 0, 6]","[29, 0, 21]","[31, 0, 11]","[6, 0, 2]","[1, 0, 1]"
10ac47e0-126c-4e0e-950e-d6f4c579afb2,"[8, 0, 13]","[21, 0, 29]","[20, 0, 22]","[3, 0, 5]","[0, 1, 1]"
bb1e1b0d-61ce-4ba6-89ad-9101796ccdf5,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
41fe417d-14ad-4b08-9e9d-90752e9954eb,"[15, 0, 6]","[31, 0, 19]","[34, 0, 8]","[6, 0, 2]","[1, 0, 1]"
1810e4bb-7516-4c2f-910a-063cb84dda07,"[2, 0, 19]","[2, 0, 48]","[1, 0, 41]","[0, 0, 8]","[0, 0, 2]"
41bee12c-5d64-45d0-bf6e-0d46989713d4,"[15, 0, 6]","[28, 0, 22]","[30, 0, 12]","[6, 0, 2]","[1, 0, 1]"
fab16aa0-8549-4503-9401-56ddd846b655,"[15, 0, 6]","[27, 0, 23]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
b95ca865-4ce9-4313-87bb-e639441e3986,"[8, 0, 13]","[16, 0, 34]","[13, 0, 29]","[2, 0, 6]","[0, 0, 2]"
9d27a8bd-6a87-487a-8f51-181b5a822526,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
10008165-ea40-4f04-81ae-0dd509e639f0,"[3, 0, 18]","[9, 0, 41]","[4, 0, 38]","[1, 0, 7]","[0, 0, 2]"
b2f7d7ef-3509-4a3b-a833-f5e3144ed31b,"[3, 0, 18]","[14, 0, 36]","[5, 0, 37]","[1, 0, 7]","[0, 0, 2]"
86457f92-8c3b-4388-9305-929d53ecc7c9,"[8, 0, 13]","[23, 0, 27]","[26, 0, 16]","[6, 0, 2]","[1, 0, 1]"
b8129429-6c3b-4e04-afc5-e23e3a6fc3bf,"[0, 0, 21]","[0, 0, 50]","[1, 0, 41]","[0, 0, 8]","[0, 0, 2]"
26e62d69-519f-4650-bea8-bec3f011fc6b,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
21fa4d44-22df-482c-91d5-132b3bf37771,"[13, 0, 8]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
3d49ec57-a4a0-494f-976c-aecdccb3a37d,"[12, 0, 9]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
3c5aa591-15f4-45f5-8816-7205a1d63582,"[17, 0, 4]","[37, 0, 13]","[36, 0, 6]","[6, 0, 2]","[1, 0, 1]"
a058d605-bcd2-41ad-a204-c4c05916ace2,"[9, 0, 12]","[22, 0, 28]","[22, 0, 20]","[4, 0, 4]","[0, 0, 2]"
3653b7d5-964c-42e0-b654-b0684d156080,"[13, 0, 8]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
11c24ab5-4aeb-478c-b2e7-4c0073afcad0,"[13, 0, 8]","[23, 0, 27]","[22, 1, 19]","[4, 0, 4]","[1, 0, 1]"
6fb386d2-c65c-4bea-b904-dd0dcbb57fdc,"[10, 0, 11]","[22, 0, 28]","[22, 0, 20]","[4, 0, 4]","[0, 0, 2]"
33987a9a-8f1c-42d6-b4b5-7f9e4bc34cde,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
92de85ba-e6c4-4079-a8c1-8cbf26344618,"[8, 0, 13]","[20, 0, 30]","[13, 1, 28]","[2, 0, 6]","[0, 0, 2]"
431179fc-e772-4c80-a573-977da5b8aa7c,"[6, 0, 15]","[21, 0, 29]","[11, 0, 31]","[3, 0, 5]","[0, 0, 2]"
bcc875fa-0cc6-44bf-84e5-742512961963,"[8, 0, 13]","[23, 0, 27]","[26, 0, 16]","[6, 0, 2]","[1, 0, 1]"
9666017c-38bd-48f5-ab25-902f7613a4ac,"[8, 0, 13]","[12, 0, 38]","[9, 0, 33]","[1, 0, 7]","[0, 0, 2]"
b3c13826-aef9-4a47-aadc-715692321c0f,"[18, 0, 3]","[35, 1, 14]","[36, 0, 6]","[6, 0, 2]","[1, 0, 1]"
586a6729-0441-40ab-a05b-6e83bf84f865,"[3, 0, 18]","[13, 0, 37]","[4, 0, 38]","[1, 0, 7]","[0, 0, 2]"
7c731579-95a1-49c5-96f4-a995b9b9066d,"[3, 0, 18]","[15, 0, 35]","[5, 0, 37]","[1, 0, 7]","[0, 0, 2]"
1f462528-c9a9-4a51-b77a-a594d590c5ab,"[8, 0, 13]","[3, 0, 47]","[4, 0, 38]","[0, 0, 8]","[0, 0, 2]"
761b93d2-c13a-488c-9f82-b6bcabd59e16,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
d945a6aa-1c8c-49e5-930b-4b2e2ec5f83b,"[15, 0, 6]","[29, 0, 21]","[31, 0, 11]","[6, 0, 2]","[1, 0, 1]"
da06d496-0835-47e0-9eb5-f39d0514f7a1,"[17, 0, 4]","[37, 0, 13]","[37, 1, 4]","[6, 0, 2]","[1, 0, 1]"
b5bc1af1-1caf-4c75-8c73-036cbea04009,"[3, 0, 18]","[10, 0, 40]","[12, 0, 30]","[1, 0, 7]","[0, 0, 2]"
9debb5d8-0f0c-4a56-9dad-6493e1f53713,"[3, 0, 18]","[15, 1, 34]","[11, 0, 31]","[1, 1, 6]","[0, 0, 2]"
f92f1cb1-2308-44bf-987d-fab5eaf1e3e8,"[3, 0, 18]","[20, 0, 30]","[19, 0, 23]","[3, 1, 4]","[0, 0, 2]"
48601017-210e-4145-bf4c-faaa4687b315,"[3, 0, 18]","[6, 1, 43]","[2, 0, 40]","[0, 0, 8]","[0, 0, 2]"
5ca5a6cf-135b-4f92-adad-7fa4c5bcce44,"[17, 0, 4]","[37, 0, 13]","[36, 0, 6]","[6, 0, 2]","[1, 0, 1]"
219cda96-a590-4794-a539-45eb5d0d81ba,"[3, 0, 18]","[10, 0, 40]","[13, 0, 29]","[1, 0, 7]","[0, 0, 2]"
c83d0bf4-e514-4de3-8bc6-f09d59f9e85a,"[13, 0, 8]","[24, 0, 26]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
a726769f-eaf9-469e-a559-53bdde85f295,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
8da3763f-4739-4f62-81b2-7eeb51cb8ee1,"[17, 0, 4]","[37, 0, 13]","[37, 1, 4]","[6, 0, 2]","[1, 0, 1]"
e7f81359-f3c0-48b8-8e74-bd2b8b7ed491,"[17, 0, 4]","[37, 0, 13]","[38, 0, 4]","[7, 0, 1]","[1, 0, 1]"
031e5f6b-6f56-45d9-b204-54a03c200f39,"[15, 0, 6]","[36, 0, 14]","[33, 0, 9]","[5, 1, 2]","[1, 0, 1]"
02c8615d-ed2a-459c-b9ca-74d070bb61f1,"[15, 0, 6]","[32, 0, 18]","[34, 0, 8]","[5, 1, 2]","[1, 0, 1]"
b142f299-2b4b-49e4-886e-2433d2f98146,"[8, 0, 13]","[23, 0, 27]","[26, 0, 16]","[6, 0, 2]","[1, 0, 1]"
94cf573f-ba16-4514-90e6-2cf0e343f13c,"[8, 0, 13]","[23, 0, 27]","[26, 0, 16]","[6, 0, 2]","[1, 0, 1]"
2e321555-ab39-412c-8fcf-bcbd5190176d,"[12, 0, 9]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
27a44ece-b22c-41cf-a068-875be309c28f,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
6494df96-b4b6-4fb9-929c-d9873ed8389d,"[10, 0, 11]","[22, 0, 28]","[18, 0, 24]","[4, 1, 3]","[1, 0, 1]"
64a8a8ac-b0e8-4c4d-93a9-3ba09b228e72,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
3eb57351-7689-47da-851f-116e53e7bdba,"[9, 0, 12]","[22, 0, 28]","[23, 0, 19]","[4, 0, 4]","[0, 0, 2]"
fba30c82-8316-4d54-87d3-d62cfad983a1,"[12, 0, 9]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
27ef97c9-e2bb-4f12-98ef-e1caaf15b6f0,"[2, 0, 19]","[1, 0, 49]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
c9f7f5d8-9eba-4fc2-8d46-b9d6f88b8d29,"[15, 0, 6]","[34, 0, 16]","[35, 0, 7]","[6, 0, 2]","[0, 1, 1]"
68ce344f-e54f-476c-8b7e-c91d91f4cd5b,"[8, 0, 13]","[21, 0, 29]","[17, 1, 24]","[2, 0, 6]","[0, 0, 2]"
a612d8ad-ad2c-46b1-9cdd-450eb3bad1aa,"[12, 0, 9]","[13, 1, 36]","[11, 0, 31]","[3, 0, 5]","[1, 0, 1]"
6ceb15fd-dd7e-4deb-9b13-49a0f880a01f,"[14, 0, 7]","[21, 0, 29]","[23, 0, 19]","[3, 0, 5]","[1, 0, 1]"
889bad61-b68f-455e-ba50-9017d65c7483,"[15, 0, 6]","[27, 0, 23]","[29, 0, 13]","[6, 0, 2]","[1, 0, 1]"
734b06ac-8159-43af-a19b-9d1f63fa9c61,"[15, 0, 6]","[27, 0, 23]","[21, 1, 20]","[4, 0, 4]","[0, 1, 1]"
98a1a882-64fd-4129-ba14-50e964d9f3fd,"[15, 0, 6]","[30, 0, 20]","[34, 0, 8]","[6, 0, 2]","[1, 0, 1]"
c4153e02-98cc-47c8-86a1-d87a5770570c,"[13, 0, 8]","[33, 0, 17]","[32, 0, 10]","[4, 1, 3]","[0, 0, 2]"
a2ce6ebe-ef2e-4e84-b742-70a2480ee5a4,"[1, 0, 20]","[3, 1, 46]","[0, 0, 42]","[1, 0, 7]","[0, 0, 2]"
3a70b6c6-20d6-468d-a03d-e987499ce7c6,"[3, 0, 18]","[19, 0, 31]","[9, 1, 32]","[1, 0, 7]","[0, 0, 2]"
e07caff7-12d8-4c57-8991-2650b6986c69,"[13, 0, 8]","[25, 0, 25]","[28, 0, 14]","[5, 0, 3]","[0, 0, 2]"
bd0d3ee7-ad04-4aba-8a3c-e002b1cc8051,"[14, 0, 7]","[26, 0, 24]","[27, 0, 15]","[6, 0, 2]","[0, 1, 1]"
ab42aaff-5406-4dc5-af65-386438af6380,"[21, 0, 0]","[50, 0, 0]","[41, 0, 1]","[8, 0, 0]","[2, 0, 0]"
fcaf1911-7771-4d4e-ab45-3b02d043c6a2,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
9caa0ab9-e448-42a5-87b3-93be191cc1f3,"[8, 0, 13]","[17, 0, 33]","[17, 0, 25]","[2, 0, 6]","[0, 0, 2]"
87e7e209-8408-4735-b49e-25a3be6b0e91,"[6, 0, 15]","[11, 2, 37]","[9, 0, 33]","[1, 0, 7]","[0, 0, 2]"
79e0e582-5fb9-40d8-9ee7-990d460d84ac,"[8, 0, 13]","[23, 0, 27]","[26, 0, 16]","[6, 0, 2]","[1, 0, 1]"
acdf1014-5b39-432b-8d60-8a15a8491959,"[8, 0, 13]","[16, 1, 33]","[16, 0, 26]","[2, 0, 6]","[0, 0, 2]"
ca0c493f-4548-4c87-9bb1-9a21aab6e6eb,"[21, 0, 0]","[46, 0, 4]","[41, 0, 1]","[8, 0, 0]","[2, 0, 0]"
5341d0a5-d5c7-4812-944c-2c2a9c02e820,"[14, 0, 7]","[28, 0, 22]","[31, 1, 10]","[6, 0, 2]","[1, 0, 1]"
ce560e27-c21c-4bfb-864b-74a059056f73,"[15, 0, 6]","[29, 0, 21]","[30, 0, 12]","[6, 0, 2]","[1, 0, 1]"
7b4cebc8-dc67-4428-a20d-b3da3bc35006,"[3, 0, 18]","[5, 0, 45]","[2, 0, 40]","[0, 0, 8]","[0, 0, 2]"
45aec797-70ba-451a-927d-b2c506ab0e3f,"[13, 0, 8]","[17, 0, 33]","[10, 0, 32]","[1, 0, 7]","[0, 0, 2]"
91513b23-fe58-4d92-b1c8-01045838d465,"[3, 0, 18]","[14, 0, 36]","[13, 0, 29]","[1, 0, 7]","[0, 0, 2]"
c957de3f-a497-4e3f-8302-3655429a7c9b,"[14, 0, 7]","[27, 0, 23]","[29, 0, 13]","[6, 0, 2]","[1, 0, 1]"
b23d1d5e-8acf-4b11-b2b9-53ebdc3fde45,"[13, 0, 8]","[23, 0, 27]","[26, 0, 16]","[4, 0, 4]","[1, 0, 1]"
7395f382-4e51-46f4-8f11-4bc56e20366a,"[3, 0, 18]","[17, 0, 33]","[11, 0, 31]","[1, 1, 6]","[0, 0, 2]"
a97ad784-80ac-461c-a38e-7e1ea73aa4f8,"[17, 0, 4]","[38, 0, 12]","[38, 0, 4]","[7, 0, 1]","[1, 0, 1]"
8f76f1fd-0b21-43dd-b6ab-1d77506e8021,"[13, 0, 8]","[25, 0, 25]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
9499687e-eb7d-47f1-8719-e817a9a16832,"[15, 0, 6]","[27, 0, 23]","[29, 0, 13]","[6, 0, 2]","[1, 0, 1]"
